Name=traffic_small.txt
StartTime=11:02:18
EndTime=11:49:14
*******************

TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 62.16, Y: 38.30, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:06:42
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 111.28, Y: -307.50, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:06:42
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 63.11, Y: 38.84, Vx: 428, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 496, Tendency: 0, Time: 11:06:50
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 111.97, Y: -307.95, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:06:50
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 64.06, Y: 39.41, Vx: 429, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 497, Tendency: 0, Time: 11:06:58
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 112.67, Y: -308.41, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:06:58
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 65.02, Y: 39.95, Vx: 429, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 497, Tendency: 0, Time: 11:07:06
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 113.36, Y: -308.86, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:07:06
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 65.97, Y: 40.52, Vx: 429, Vy: 250, Afl: 240, Rate: 0, Heading: 60, GroundSpeed: 497, Tendency: 0, Time: 11:07:14
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 114.06, Y: -309.31, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:07:14
